mediatype_label,sector_label,record_id,dc_type_de,match_level,cho_class,source_vocab,note,mediatype,sector
Not Digitized,Media Library,http://www.deutsche-digitale-bibliothek.de/item/KVBWBKZJFDRGBREDKL4V6ABZEBF7FDF3,Negativ,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte005
Not Digitized,Monument,http://www.deutsche-digitale-bibliothek.de/item/2B3I4HYFIYTGP7GR2FSDS224SUHVTYT2,Baudenkmal,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte003
Not Digitized,Monument,http://www.deutsche-digitale-bibliothek.de/item/45HCTCSZQEHBWCVIO2IOHCSQ7J7UHMR4,Baudenkmal,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte003
Not Digitized,Monument,http://www.deutsche-digitale-bibliothek.de/item/4EB5IOA5UAQLOH52CIRM7WXTBSFWY7WQ,Baudenkmal,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte003
Not Digitized,Monument,http://www.deutsche-digitale-bibliothek.de/item/4QKZ53HPXOCRNIEWPPEH3K5YTEW5CA4V,Baudenkmal,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte003
Not Digitized,Monument,http://www.deutsche-digitale-bibliothek.de/item/4HT2HSNENKT6W6555BLPGULC2U43YS6K,Straße,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte003
Not Digitized,Museum,http://www.deutsche-digitale-bibliothek.de/item/22UBGG2EKT23IN3WFBUDEMSWE3WZLMY5,Audio,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte006
Not Digitized,Museum,http://www.deutsche-digitale-bibliothek.de/item/2BX6GOGZZYBAY2VCZBT2CRGMY3CI6E2R,Brief,any-mediatype,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,fabio,D9 fallback,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte006
Not Digitized,Museum,http://www.deutsche-digitale-bibliothek.de/item/2AHAIOOCJCMV3OLQVVSKIIWIKYDDBPYA,Druckschrift,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte006
Not Digitized,Museum,http://www.deutsche-digitale-bibliothek.de/item/2P5KJHXTIHRAMVEY5IHJ4V7VWVGVNJ54,Druckschrift,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte006
Not Digitized,Museum,http://www.deutsche-digitale-bibliothek.de/item/2F5RPFPUC7YOUQ4GN7YX6GXUSBLO7H5S,Erinnerungsstück,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte006
Not Digitized,Research,http://www.deutsche-digitale-bibliothek.de/item/2HRIXFTQLZLXWOKT7YTVKINOSN4PHLZY,Archivale,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte004
Not Digitized,Research,http://www.deutsche-digitale-bibliothek.de/item/3DPAZHITMCOZ4L2I23RPMS5HMWQRES73,Archivale,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte004
Not Digitized,Research,http://www.deutsche-digitale-bibliothek.de/item/3U5HRLXS7VQRUWN6DOOMW6JUJICOQLT3,Archivale,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte004
Not Digitized,Research,http://www.deutsche-digitale-bibliothek.de/item/4DTLY7HNV6DHMOVSNY4FO2TXD76NVB3H,Archivale,fallback,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,,http://ddb.vocnet.org/medientyp/mt007,http://ddb.vocnet.org/sparte/sparte004
