dc_type_de,gnd_uri
Schenkungsurkunde,C2JUSVZ57AWCGTXG7INE6SJVIBZPO63T
Schiffsmodell,http://vocab.getty.edu/aat/300266034http://vocab.getty.edu/aat/300082981
Schlittschuh,http://d-nb.info/gnd/4215076-0
Schloss,http://d-nb.info/gnd/4052753-0
Schlossanlage,45AYTPYZFC2QC4QNURHILGUAX2BAQ55O
Schlossdarstellung,AK7ARQ5ZN77NN7AZAGILZHL47M7GSRFC
Schloß,http://d-nb.info/gnd/4052753-0
"Schmuck / Trachtelement
							(Nadel)",UUVOSEECTCYXIX2YPVGYELF5BYWC4LVX
Schmuckblatt,5FY43SXW5YF6N6HZJ66CKKGVQT6NM4PR
Schreibschatulle,RDMP6NHN2AGTRUQBP665H6R3TJNJVAJU
Schriftgut,A2WBTX65FMIH7K66TN4HRG66N3UEV7RV
Schriftplakate,NQ4J3DPY4K5VVRAYS76E2PVKFN3D74F6
Schriftproben (3),7M4IM4WK2HDK4HWASB6PDDKLTK5QM4H6
Schuber mit kleinen Leseheftchen,RCEA5QHS7M24TO7NXLGYCU5IN2EIY2OA
Schulbuch,http://d-nb.info/gnd/4053458-3
Schulbücher,
Schule,N67PDHJ6SWMM6ZNNGL5YS5GCO3QK7ZMF
Schulhefte (9),3DULVOBKKIJCSWR7AKBT4H2HO6DBW3N4
Schulprogramm,https://d-nb.info/gnd/4077211-1
Schulwandbild Biologie,ZFD6IGQYXEOVRIMHXIDVWGQLY4JMUJHX
"Schulwandbild Biologie (Eisvogel,
                            Neuntöter)",Y2CCIICAOCLF7PLHS35LZUE3MDF52MLU
"Schulwandbild Geschichte (Der Neue
                            Schulmann Nr. 4008)",TE2BI3DKS2ZLXM6GKSDZHN47B4YKOKM2
"Schulwandbild Geschichte (Geschichte
                            als Gegenwart 22)",N2BUDMB4DYCZFYA4SEEMSQWH7YPASEG5
"schulwandbild Literatur (L.
                            9)",CFZJDGW6X3442RDBKXIBSUAWFQEHQE5C
Schwarzweiß-Positiv,http://vocab.getty.edu/page/aat/300138191
Schwarzweißfotografie,http://d-nb.info/gnd/4121634-9
Schülerzeitschrift,JEXJE5N2X2YQNNBTAE2HLX2QIOJ7WAH6
Seite,WM6P4ANPE7SXH2YRHA3A2MX5VLXPZDQS
Serie,4UCT6YBHKYAAUY5Z4OV5IEX4OSQXI6FP
Serienschein,NQWLNPELZGC77X4SOJDLKB4XXQ4BT2PD
Serienscheine amtl.,USBZZRCXMKXB2JHKKXWHCMZITYT7WLIE
Service,ZUMK5YREUF6SBEIZWOWJSHKTGUTH2TZ3
Siegel,https://d-nb.info/gnd/4054876-4
Siegellack,5HJ67N23RVXPLFBTGTZI2ZZ74CDPOY7D
Silhouette,WQ7END5HMDXFMDB3EQ4MSYXJAXCWOAKV
Silhouettenbild,http://vocab.getty.edu/aat/300015423
Singspiel,
Sitzfigur,http://vocab.getty.edu/aat/300343592
Sitzstatuette,PNO5OUQUYPT5PZW4C4V3YLIEL4SGL4YG
Skizze,http://d-nb.info/gnd/4181668-7
Skizzenbuch,http://d-nb.info/gnd/4055251-2
Skulptur,http://d-nb.info/gnd/4046277-8
"Skulptur (visuelles
                            Werk)",http://vocab.getty.edu/aat/300047090
Skulptur (visuelles Werk),http://vocab.getty.edu/aat/300047090
Skulpturengruppe,TKUCDZJGQ774BHOFMUQRHRYHSFFPNXUK
Sockel,http://vocab.getty.edu/aat/300080499
Sonett,http://d-nb.info/gnd/4055555-0
Sonstiges,CURWXUGM6B5AR6LARH3LLL3RX3U36FKD
Spendenabzeichen,UHY7YJYZ3IBDFMQL63TQG5N2SEW42XYK
"Spielerisches Lernen: Abenteuer, Spielgeschichten, Unterhaltung",H52BDKMCWELIAQXCEMSC5LRTJFN23XMD
Spielerisches Lernen: Sprachen,JPUIYDSX4UUNXXBHM2SRCKTKPB745IZC
Spielfigur,5OTNA5XA246KTDXMO5XJTHASS3MNH6MJ
Spielzeug,http://vocab.getty.edu/aat/300211037
Spruchblatt,SRZMLDCHQQVPQUXYCKXLLFULSZSYZEIP
Spruchkarte,ZTO3FMDHGKI3GCTQSQLNE7QFAXZ55OUF
Spruchpostkarte,RF6AI3CACNE4L3TB2YPR4CISF6PJRXTY
Stahlstich,http://d-nb.info/gnd/4128040-4
Stammbaum,http://d-nb.info/gnd/4248436-4
Stammbuch,http://d-nb.info/gnd/4056896-9
Stammbuchblatt,7CZJTBMHO4W5YMKBXJA3R7VRQ6CSNSAE
Stammbucheintrag,WBCPS3I4UUNXZ4NKQ3RISSZOKHTDJQ75
Standbild,http://d-nb.info/gnd/4129665-5
Standfoto,http://filmportal.vocnet.org/specificType/st00023
Statistik,http://d-nb.info/gnd/4056995-0
Statue,http://d-nb.info/gnd/4129665-5
Statue (Rundbild),E6OIK3H6RLSXJ42PV4A5CJYFIIOYKNIW
Statuette,http://d-nb.info/gnd/4182966-9
Statuette (Rundbild),OYZMUY3RXZPGTDBOD4F3A7XPU5HEDD7U
Statuettengruppe,LEHHEJ4WUPB5U332MZJNX6CT6SUIXQ3G
Stele,Z7CC6DULTNTQGRGVHKL22S52BRRIFK5S
Stempel,http://d-nb.info/gnd/4183099-4
Stereofoto,CQ2EXCUAI2ZHKTDZ7DOMJQAMERBF3SUF
Stereoskopie,http://vocab.getty.edu/aat/300380031
Stickmustervorlage,2GCVGRJIOMNGAM4XZX5X7C7YE6KCC6TQ
still image,
Straße,QFRYPRDP5IHBVVUBJHKJYPVYQU53U3G6
Streetart,http://d-nb.info/gnd/7581172-8
Streitschrift,https://d-nb.info/gnd/4129058-6
Studie,http://d-nb.info/gnd/1041355866
Studienarbeit,GRK6XQN5AO2CC6B6475ZJC3RSJITU36A
Studienbuch,LKJYGVN3UHXYJTRTHDO7GBUCQMCMAYF6
Stuhl,FKWLFITSRQAAQZCDBLTTDNGAISSDAT56
Stundenplan,KRAJ4U25V2JU4LDAAMJ37BYSNIXCJDBC
Städtemedaille,AXNFJDYBFMHF4MNIEXUUGXVLCIEM46UU
Supraporte,http://vocab.getty.edu/aat/300002911
SW-Foto,AIADDGUW27J7AN3A6FDBOPFVVKGNHM2Z
Szenenfoto,736TYN6SQQ3B7FY6ZQ7RXRUDJFGZ2MO4
Tabelle,http://d-nb.info/gnd/4184303-4
Tagebuch,http://d-nb.info/gnd/4058900-6
Tagebuch  1816,4XTAXRUDKO3SCC6IJZKTLTX54IEJOGG6
Tagebuch 1786-1788,WY5LIEDYWROWWY7QPYQESAJ73DUOHXZC
Tagebuch 1829-1832,RMAB7KO35MTZGADHYA34UR6K7JGIV3RK
Tagebuch 1992,
Tageszeitung,FPI3ISEQWLZYNY2ICNDE5BVK7ZH5ND5R
Taler,http://vocab.getty.edu/aat/300412168
Tanzkarte,4CK3KES67NG4F3ECE4RR2BWED6QNYIM4
Tarnschrift,7463IZ6BCQA22QK2RCH3M57E5O3AZ5NV
Teaser,http://filmportal.vocnet.org/specificType/st00016
Teil 1 einer Trilogie,V5APPNQB2PZCT3VCSZQEHK3NVDE3ZNBE
Teil 2 einer Trilogie,PB3MYEYKTSDMTLWRC3V7UEZQ47QBNXL6
Teil 3 einer Trilogie,ZTHCMNOKDKCOUSQCP27GCUBJ6A5Q35ZO
Teil eines Periodikums,JPYXR2Y5SL4DQCU7ZFDTTDCEPYACYQYG
Teilnahmebescheinigung,DS5M2SK2QS7XNXAICKHAB245ZXHFKO4X
Temperabild,7TE7SWNVAMGEPXX7QPBPF52TNCTGTSRM
Testmaterial,
text,https://d-nb.info/gnd/4059596-1
Text-Noten-Blatt,MAGQEEMYYBR7WO5W2BCCXZXSH3ALNRB5
Textbeilage,IVQ25K3HR7KGDTYNRRGZQT7LEHOPPEI2
Textsammlung,J5MSVU4LZF7EMEJRPXJWOF54NSZXPOH7
Theater,JE545OZU4RJ6YPUMHBJ2POQUXA3CAFY5
Theater-/Filmmaterial,
Theateranzeige,JU2EPDYQCWBEGMJAA53OKZYMNK7I6Y2Y
Theaterfotografie,RF6BT3I6S4PQDHJSMDZAKKTVBJXAZ5DC
Theaterkostüm,LWA3KJDXRJPSJ6E53FUFPGFWJBYQY466
Theaterplakat,F6SI4P65QJYNHLWTZ3BYYNTNDT3CU5NF
Theaterprogramm,KZSX53CCL7FAT7U6SAYH7AP56VRLE4XL
Theaterstück,http://d-nb.info/gnd/4304080-9
Theaterzettel,IEFTHE3PU3AP3ZSJ7F7NWQLSZTEXMYPG
Tierbuch,
Tierkunde,
Tisch,ZYWLP7VUVEDWSQDHSV6YFPGU73VHEA37
Titelblatt,https://d-nb.info/gnd/4185576-0
Todesanzeige,http://d-nb.info/gnd/4185595-4
Tonaufnahme,http://vocab.getty.edu/aat/300028633
Tonaufnahmen,MOARCB32EA4VVOKTMFMCC2HPPO36GHUP
Tonband,RWWHR47PXORPWMTUV5XADFWJXCQ545EK
Tonbandspule,http://d-nb.info/gnd/4522869-3
Tonbild,http://filmportal.vocnet.org/specificType/st00058
Tondokumente,XAPOZBI45HXZJYAV44G4ZDN6OX7QTUWE
Tonträger,B6FLGKK2KUHYKUO46IQDY734S7EKN5MB
Tragödie,http://d-nb.info/gnd/4060591-7
Trailer,http://filmportal.vocnet.org/specificType/st00017
Traueranzeige,MNZ4RWCLRJPLICZBS26CWRYQIJLMTK6T
Trauergedicht,ZJ6GL3ARI7RHO574O3CKYGY35UCV7TEY
Trauerspiel,
Tuschfederzeichnung,UCHN7HDPMVAHCC4DP4QLHPRKUYGC5T3H
Tuschpinselzeichnung,AOLANKKZHL2ZOFFKJSLWY2W7DLQ4H4U4
Typoskript,764MR4EA5KZUZZUE4237FN7JWJGAXACK
Türklinke,http://vocab.getty.edu/aat/300077937
Umschlag,6PZCTA7TW5JIF73WQNAGG3MLU2LJQ5DW
Universität,http://vocab.getty.edu/aat/300006617
Universitätsinstitut,http://vocab.getty.edu/aat/300312291
Unterhaltungsblatt,QY3WSTSURL3TOU53FTA2KMRDSGEZDNTC
Unterrichtseinheit,http://d-nb.info/gnd/4187074-8
Unterschrift,http://vocab.getty.edu/aat/300189326
Urkunde,http://d-nb.info/gnd/4062132-7
Urkunden,EOESFW24NKNIMIJBTEHBLQIOXRJOMN56
Veranstaltungsmitschnitt,http://filmportal.vocnet.org/specificType/st00019
Veranstaltungspostkarte,3TQTE4D7LK4NOGDHXEVUAVT5RXO7VZDO
Veranstaltungsprogramm,EE5D6T23KNY23RJXASNASTHPP24R7W3D
Verfügung,4TIMACJ72GH3QO63OW3IM4NY4TPT3QY6
Vers,http://ddb.vocnet.org/hierarchietyp/ht027
Verschiedenes,I64Y6GRK2ALN5DSXDEUE2RBPGIAKL6SL
Verwaltungsgebäude,SLJVGQ4YV5TNVKGR4EPN2SSRH4NVHDSV
Verzeichnis,https://d-nb.info/gnd/4188171-0
Verzeichnung,HPQDJKPPSK2LGYPCZQ475Z346MUKIAES
Vestibül,VK6ZO6BLANS4ZUD34OK2VOCEXLZL427S
Video,KK74ECKRT2Z3DGRFNV6TXIMGTXREQBBX
Videofilm,UPZQ5TXC43FDLU6IFK2JAH7QNX73CBY3
Visitenkarte,http://vocab.getty.edu/aat/300026823
Visuelle Materialien,ZNIBNNMAHWJ7QG774XTSIP7DIGT6QGG5
Vogelschaubild,J6RVDFUX5WKGSDAYP36MCFSBUGP2DMIE
Volkslied,IQTEYFLCDGEGXA4WDF7C7ILB5CYXFQM6
Vollmacht,http://d-nb.info/gnd/4063907-1
Volume,http://ddb.vocnet.org/hierarchietyp/ht007
Vorderhaus,QWJEW4HK2QGRI5HNHP2RBC5ZITLBB3XM
Vorhalle,http://vocab.getty.edu/aat/300004263
Vorlass,BA7OOAR6TODK7S4NBZRNNGACZ2RVDYLT
Vorlesebücher,YLC3F6BEZ6DXGRFN6CQAZS645SDOHB2K
Vortragstyposkript,6WSPQAGXYQEZWFHIEAUIQNDJ4YXMSZQJ
Vorwort,https://d-nb.info/gnd/4135881-8
Vorzeichnung,http://vocab.getty.edu/aat/300068293
Wandbild,http://d-nb.info/gnd/4064542-3
Wandmalerei,http://d-nb.info/gnd/4064542-3
Warenhaus,http://vocab.getty.edu/aat/300005344
Waschraum,http://vocab.getty.edu/aat/300081124
Wasserbarometer,FOBYUWDUQ2YGUYMJIAQZB2UBBSLA4OGP
Wasserfarbe,http://vocab.getty.edu/aat/300015045
Weblog,http://d-nb.info/gnd/4678688-0
Website,http://d-nb.info/gnd/4596172-4
Weihnachtskarte,5M4MINASH6FWST6D2MKTPOKXU4IXEVZW
Weihrelief,EBZXMS5HUXAXZMLVCPOVCCULGC5YK3P5
Werbematerial,5OTFHJLMIO7XD77MIIPUX6XSNBOZ2H5J
Werbepostkarte,UBDAGXQKBOH3KPTKKFHRXDB5YLEJN6TV
Werbesendung,http://d-nb.info/gnd/4189638-5
Werk,BFRRXJFSOXE3J4PQILXCHJW36DAFHJJ3
Werkverzeichnis,http://d-nb.info/gnd/4189680-4
Werkverzeichnis 1979-2001,K5GHNTA4DWDVXJEBUYNZT3CZMT5SDVBC
Wetterglas,5LBMKPMHQLRR4MFJ7S6EIPLZGTIOYTEV
Widmung,http://d-nb.info/gnd/4148981-0
Wochenzeitschrift,MJJJZS73VL4IHYATYGHUL4RTV7M63NTQ
Wochenzeitung,UWKILRMZWGYGKHM55KNM5TLZZ7VPG3DJ
Wohn- und Gasthaus,http://vocab.getty.edu/aat/300257729http://vocab.getty.edu/aat/300007170
Wohn- und Geschäftshaus,B22Y4JKNTXFC2OKMYOA7EXMFHSIQ2QXH
Wohnanlage,U7G5MPWEIOSX3FP7Y2SCEKDFGCX65XVW
Wohnhaus,http://d-nb.info/gnd/4023693-6
Wohnhaus (Stadtturm),7K3PENJT5G6WVETRISEB47ZSOKAQLWJ3
"Wohnhaus, Fachwerk",HRAD5CS3NZKN7WZJBFWKL2V3PS6MVB4O
Wohnhausgruppe,SFQKIUGZBEVEUB3WBC57EYKV3ZXFBUGV
Wohnstraße,http://d-nb.info/gnd/4190175-7
Working paper,RKXEYURFTKBRKSYKSZUTBFMQRVX3LNBX
Wörterbuch,http://d-nb.info/gnd/4066724-8
Zeichnung,http://d-nb.info/gnd/4127900-1
Zeichnung & Karikatur,OLLWGHE752DGF3ONRWHGDLATK56VWWDY
Zeichnung (Kunst),http://vocab.getty.edu/aat/300033973
Zeichnung Brief,ULMO5NS3CAQKQN6GTHY7HP5MJFHEPKPW
Zeichnung Zeichnung,CMV22JUPTFHONFZFRVXQDJEMO7VSFZFV
"Zeichnung, Collage",6YDEE6UKEDY4QQ5GEF3KLXO54UJG4LF6
"Zeichnung, Druckgraphik",HCXUGL6O3QDH2F6YTIVH3QUQDM5WIHH7
Zeichnung/Druckgrafik,3BNNRTYZSY4FCKA24I3LYR5RRRUJX2QJ
Zeichnung?,http://vocab.getty.edu/aat/300033973
Zeichnungen,BT4BRIUBAIVZ4YMOEYWENAZPU3WHLCXS
Zeitschrift,http://d-nb.info/gnd/4067488-5
Zeitschriften-Sonderdruck,6N3CS3FHVCSBXA35S6SJVQNHY45UJRV7
Zeitschriftenartikel,https://d-nb.info/gnd/4125424-7
Zeittafel,http://d-nb.info/gnd/4190631-7
Zeitung,DSKE7OEYVJX7VI7LZR67ZGOCEGXKGKTX
Zeitungs-Telegramm,OR3MBCZYCNU5LAK4STR7DFY4FZ7LZT4O
Zeitungsausschnitt,http://d-nb.info/gnd/4324081-1
Zeitungstelegramm,4PX6DCQJBLWNOMCZBRGGSXLGQRIIJ6EE
Zettelkatalog,http://d-nb.info/gnd/4502311-6
Zeugnis,http://d-nb.info/gnd/4067707-2
Zimmer,http://vocab.getty.edu/aat/300004044
Zirkular,http://d-nb.info/gnd/4299351-9
Zitat,N5JTWOHUUR3JSW74PYOFIXT4IDCKNTVT
Zitatensammlung,http://d-nb.info/gnd/4117724-1
Zivilprozessakte,KX55YGVCPOSERS46K77JCL3ISYADTQTB
Zoologie,
zweidimensionales bewegtes Bild,2XAOTBHHBS6U3A7YQZGOQOPDPOND3HWD
Zyklus,http://d-nb.info/gnd/4191377-2
Übungssammlung,http://d-nb.info/gnd/4222208-4
"Ōban-Einzelblatt, beschnitten",VZUUEJ6XANLDXXYACFT2JOC4ICVY7B7U
