dc_type_de,gnd_uri
Biographie 1775-1832,NKUYQ5CSDCF4F4ILM6AEFSP23YVVAWFL
Biographie 1831,5FFGW5G2NDV35ZSZMIZEEPWFD2EE7PCX
Biographien für Kinder und Jugendliche,XO6UX356OUURFAFW76OBB5E54OBC47UB
Blaupause,5ASMZQ5TIWFUSYN2R5RLIXBSXNXGQPCU
Bleistifthalter,HN7CFXYXSCBYBV3QX4ISKDOIE33GQPS6
Bleistiftzeichnung,ONG4XAUEWSVBYQFXGSAIUL76DVC53VKT
Botanik,
Brief,http://d-nb.info/gnd/4008240-4
Briefabschrift,6ASW2SZZ66XHGGXDWS3DYTPQYGAIOVPM
Briefbogen,http://vocab.getty.edu/aat/300193998
Briefentwurf,ULYHEFCBPGR73XBYQPX3ZCVEXHDEN35L
Briefgedicht,http://d-nb.info/gnd/4300048-4
Briefkarte,WS4CVX6FJTGGBZCSWKRN7LVXST5Z7A3H
Briefmarke,http://vocab.getty.edu/aat/300037321
Briefmarke & Sonderstempel,XWEM4LJ3UV72QV72XQ2LTWJ73GUCH5OF
Briefsammlung,http://d-nb.info/gnd/4146609-3
Briefsammlung 1765-1767,36I6KQMORIB4IIXUNIC7OS5NSJQQU4FG
Briefsammlung 1769-1832,373JMGWPVFUWL7RHZLKNEWGXASNOI75L
Briefsammlung 1774-1786,YTQ7RPARULJDRJZ5NFM5RZJDGHOVLNNX
Briefsammlung 1778-1782,L43FXDDNK2HGPH6ENXB47ID56QT2OXK4
Briefsammlung 1780-1808,X4W3TAKIU7JWFDT64H43ZMQYIMHTBWLE
Briefsammlung 1784-1828,NUUSFA54U7H2EE747H3V7Y6OR6VFERU5
Briefsammlung 1788-1799,AG7TEEOU7MPJHLH23W2PRKFQ2MQGCNCZ
Briefsammlung 1788-1816,JQHRFDVNSIJSLWWKQIO3E4RSQZYTSLPY
Briefsammlung 1790-1828,XDFAKUY7UILQXPLDRYOA3OCXTORAULZ4
Briefsammlung 1792-1816,
Briefsammlung 1794-1805,7I4G25RQF5HIXMHDZAPNKDPWX4JMVXPW
Briefsammlung 1799-1832,3SEWFQWX6EP7MI5ZDKXP254PUUW7QLKK
Briefsammlung 1803-1805,ZGB2YGW4UBRIT4VJIZSGNUIDZZQCS5VP
Briefsammlung 1814-1818,U6CHUKDURU2OMFSYEIUZWYMSUMXJDWX5
Briefsammlung 1815-1841,3JLCZXFQQMJKQK54HCUHZJKKSQHIN3VF
Briefsammlung 1816-1831,2S4WTU56OW7HYDUUE5DGVC5KKTPCN33Q
Briefsammlung 1822-1832,SSMCIH3GR2H6DTBTQ5RP7WOMNCDEQUH3
Briefsammlung 1827,
Briefsammlung 1828-1831,6X744VMS3IT5LVTJ5F2542CUYGPIJ2NE
Briefsammlung 1829,ILWQ2OLTISLQ5S3WUSOW5MEQJ44PQ7BQ
Briefsammlung 2010,DR5T2PEEHECVZWOYNZ3OQM6ZZEL6B5QH
Briefumschlag,http://vocab.getty.edu/aat/300197601
Bronzeplastik,R7IPGOGNMJ7ZM4VBPY7IKD6GQ5SUG7E6
Bronzerelief,2QLOVW5YFDNP6NS2AFHNMYNWLOTJ62UH
Brunnen,http://vocab.getty.edu/aat/300006179
Brücke,U7BHPJVTAFL2LSTLY2LFUXCFJLC6RDU7
Buch,http://d-nb.info/gnd/4008570-3
Buch Druck,JX72C4B2AGMWLVTTXQPHUP4WHCSM7F62
Buch Druck Einband,LJ5IWXNMBPW7Q46OT6ZK52VL7LSPFC3J
Buch Druck Text,ISEYKR2XUVTUAR7YIAZSLSZU3N6LNGUP
Buch mit handschriftlichen Eintragungen,2JSI6DG4M5GK27MADSRPSUHQJ33SFXY7
Buch mit handschriftlicher Eintragung,XSFGZMPIJWXAAA25SUO4LBDAZCNGV2N3
Buch Zeichnung,NQMWIR56OYRBY3KOYAL2GYKUFW6SUUQZ
Buchausstattung,CQSF247U755TJ5CEV5GH3IXQM373IHJW
