mediatype,sector,dc_type_de,dc_type_en,dnb_uri,rdf_type_w,rdf_type_e,rdf_type_m,rdf_type_i,source_vocab,notes
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Vorhalle,,http://vocab.getty.edu/aat/300004263,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Vorlass,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Vorzeichnung,,http://vocab.getty.edu/aat/300068293,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Wandbild,,http://d-nb.info/gnd/4064542-3,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Warenhaus,,http://vocab.getty.edu/aat/300005344,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte004,Waschraum,,http://vocab.getty.edu/aat/300081124,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Wasserbarometer,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Weihrelief,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Werbepostkarte,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Werkverzeichnis,,http://d-nb.info/gnd/4189680-4,,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,,mocho,Default (D9)
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte006,Wetterglas,,,http://purl.org/vra/Work,,,,vra,Sector default — sparte006
